height,prop_time_lower_bound,node_count,size
1787564,0,1,2812
1787565,0,1,9524
1787566,0,1,7401
1787567,0,1,94
1787568,0,1,1982
1787569,0,1,11616
1787570,0,1,2808
1787571,0,1,94
1787572,0,1,15917
1787573,0,1,94
1787574,0,1,2836
1787575,0,1,94
1787576,0,1,11180
1787577,0,1,94
1787578,0,1,94
1787579,0,1,94
1787580,0,1,94
1787581,0,1,90
1787582,0,1,1983
1787583,0,1,26448
1787584,0,1,90
1787585,0,1,94
1787586,0,1,94
1787587,0,1,94
1787588,0,1,94
1787589,0,1,2814
1787590,0,1,94
1787591,0,1,94
1787592,0,1,103
1787593,0,1,11240
1787594,0,1,94
1787595,0,1,1978
1787596,0,1,16534
1787597,0,1,94
1787598,0,1,103
1787599,0,1,94
1787600,0,1,15056
1787601,0,1,4694
1787602,0,1,94
1787603,0,1,94
1787604,0,1,2014
1787605,0,1,103
1787606,0,1,3628
1787607,0,1,1976
1787608,0,1,1982
1787609,0,1,1980
1787610,0,1,27046
1787611,0,1,66220
1787612,0,1,77271
1787613,0,1,94
1787614,0,1,9328
1787615,0,1,90
1787616,0,1,94
1787617,0,1,70060
1787618,0,1,3860
1787619,0,1,5737
1787620,0,1,9715
1787621,0,1,94
1787622,0,1,17873
1787623,0,1,38112
1787624,0,1,103
1787625,0,1,15853
1787626,0,1,28463
1787627,0,1,94
1787628,0,1,94
1787629,0,1,3882
1787630,0,1,94
1787631,0,1,17205
1787632,0,1,9539
1787633,0,1,1968
1787634,0,1,5528
1787635,0,1,94
1787636,0,1,1978
1787637,0,1,46074
1787638,0,1,94
1787639,0,1,2809
1787640,0,1,94
1787641,0,1,94
1787642,0,1,17750
1787643,0,1,90
1787644,0,1,1978
1787645,0,1,94
1787646,0,1,1983
1787647,0,1,2813
1787648,0,1,14984
1787649,0,1,94
1787650,0,1,7427
1787651,0,1,94
1787652,0,1,2833
1787653,0,1,1979
1787654,0,1,103
1787655,0,1,29629
1787656,0,1,1977
1787657,0,1,94
1787658,0,1,94
1787659,0,1,9542
1787660,0,1,4747
1787661,0,1,86427
1787662,0,1,94
1787663,0,1,5423
1787664,0,1,16620
1787665,0,1,28199
1787666,0,1,6271
1787667,0,1,32805
1787668,0,1,2835
1787669,0,1,16715
1787670,0,1,1976
1787671,0,1,94
